Zählen	6
hoch	4
runter	6
Hallo	5
Grüße	5
Hi	2
Welt	4
Erde	4
Der Zähler ist jetzt bei dreißig	34
Wir sind jetzt bei fünfundreßig	28
Hallo	5
Hallo zurück	12
OK	2
Automatische Lautstärke aktiviert	33
Ich habe die automatische Lautstärke aktiviert	46
Aktiviere die automatische Lautstärke	37
Setze die automatische Lautstärke auf aktiv	43
Schalte die automatische Lautstärke an	38
Stelle die automatische Lautstärke auf an	41
Die Automatische Lautstärke ist deaktiviert	43
Ich habe die automatische Lautstärke nun deaktiviert	52
Deaktiviere die automatische Lautstärke	39
Stelle die automatische Lautstärke auf inaktiv	46
Schalte die automatische Lautstärke aus	39
Stelle die automatische Lautstärke auf aus	42
Ich habe die automatische Lautstärke nun zurückgesetzt	54
Deaktiviere die automatische Lautstärkemessung	46
Lösche die automatische Lautstärkemessung	41
Setze die automatische Lautstärkemessung zurück	47
Hier sind die Gute Nacht Geschichten aus meiner Bibliothek. 71
Liste die Gute-Nacht-Geschichten auf	36
Welche Geschichten hast du	26
Welche Gute Nacht Geschichten hast du	37
Okay, lass mich sehen, ob ich diese Geschichte habe.	52
erzähl mir Herr der Ringe	18
lies mir Harry potter vor	20
lies mir die Biebel vor	20
Erzähl mir ein Märchen	18
Okay, sicher. Hier ist eine große Auswahl aus meiner Bibliothek.	64
Kein Problem, mach es dir bequem während ich eine Geschichte auswähle.	70
Erzähl mir eine Geschichte	26
Erzähl mir eine Gute Nacht Geschichte	37
Erzähl mir ein Märchen	22
Erzähl uns eine Geschichte	26
Erzähl mir eine gute Geschichte	31
Rotkäppchen	11
Goldlöckchen und die drei Bären	31
Hänsel und Gretel	17
Das Samtkaninchen	17
Rumpelstilzchen	15
Des Königs neue Kleider	23
Die Prinzessin auf der Erbse	28
Die Wichtelmänner	17
Die drei Ziegenböcke namens Gruff	33
Peter Hase	10
Es ward die Nacht vor Weihnachten	33
aktiviere	9
starte	6
rufe	4
Auslöser	8
Szene	5
Automatisierung	15
Skript	6
reduziere	9
herunter	8
wo	2
orte	4
erhöhe	6
herauf	6
heller machen	13
trüb	4
Licht	5
Lichter	7
Lampe	5
Lampen	6
Glühbirne	9
Glühbirnen	10
LED	3
einschalten	11
schalte	7
schalte	7
Zustand	7
Status	6
Sensor	6
De­tek­tor	10
Wert	4
lies	4
wie ist der aktuelle	20
was ist aktuell	15
sage mir den aktuellen 	23
sage mir aktuelles 	19
setze	5
drehe	5
schalte = if its a verb; Schalter = if its substantif	53
Aktiviere Wohnzimmer 	23
Automation Rolladen ausgelöst.	34
Party wird ausgelöst.	23
zocken wurde ausgelöst.	29
Schlaftimmer wurde aktiviert.	29
Küche aktiviert.	23
bitte wähle ein Hel­lig­keitslevel zwischen und .	49
wie hell? du kannst eine Einstellung zwischen und wählen.	57
Kann Flur nicht dimmen. Es ist nicht dimmbar.	53
Kann Bad nicht dimmen. Es ist aus.	43
Kann Kinderzimmer nicht dimmen. Bitte schalte es vorher an.	59
Ich habe Arbeitszimmer auf sechzig Prozent gedimmt.	57
Ich habe Keller gedimmt.	30
Setze die Helligkeit im Hobbyraum auf zehn Prozent.	65
Helligkeit von Wohnzimmer wurde auf zwanzig Prozent erhöht.	68
Helligkeit von Schalfzimmer erhöht.	35
Fernseher ist bereits am eingeschaltet.	39
Keine Änderungen an Deckenlampe vorgenommen.	45
Küche ausgeschaltet.	27
Herd ausgeschaltet.	27
Lampe ist nun aus.	25
Büro ist eingeschaltet.	31
Spielzimmer wurde angeschaltet.	32
Badezimmer eingeschaltet.	27
Flur ist umgeschaltet.	30
Gang wurde umgeschaltet.	32
Entschuldigung, ich kann das Home Assistant-Objekt nicht finden 	64
Objekt 	7
Entschuldigung, Objekt 	23
Entschuldigung, ich war nicht in der Lage, es zu finden 	56
Der Home Assistant Server ist anscheinend offline.	50
Konnte den Home Assistant-Server nicht erreichen.	49
Der Home Assistant Server antwortete nicht.	43
Ich weiß nicht, was du von mir willst.	38
Konnte nicht herausfinden, wie man mit dem Home Assistenten spricht.	68
Ich habe leider nicht verstanden, was du gefragt hast.	54
Im Moment ist Wohnzimmer bei vierzig Prozent.	50
Schlafzimmer hat den Wert: fünfzehn Grad.	46
Bad hat zur Zeit den Wert siebzehn Gard.	54
Badezimmer ist bei achtzehn Grad.	40
Der letzte bekannte Aufenthaltsort von Andreas ist Zuhause.	69
Dieter ist bei der Arbeit.	34
Sigrid wurde im Haus entdeckt.	44
Tomaten holen wurde zur einkaufen Liste hinzugefügt	53
füge Zuchini zu meiner Einkaufsliste hinzu	57
füge Erdbeeren zu Liste Besorgungen hinzu	50
füge	4
Ich habe Kleider waschen von der Liste Aufgaben wieder entfernt	64
Steuererklährung, sonst noch etwas?	29
Ok, die Aufgaben sind zu der Liste Büro hinzugefügt	59
authentifiziere Michael erinnere mich an die Milch	66
authentifiziere mit	19
vervollständige	15
willst du es vervollständigen	29
was ist an	10
Was ist zu tun	14
finde Abreitsplan	20
Ich habe Karotten auf der liste Essen gefunden	57
Finde Früchte auf meiner Wochenmarkt Liste	54
Finde Bananen auf der Liste Essenswunsch	50
finde	5
Fehler in Search in Linie siebenunsechzig	50
Hol dir ein Token für Spotify	36
Hole Token	10
Entschuldigung, ich konnte keine Liste die Einkaufen heißt finden	68
Ok, ich werde es vergessen	26
nein	4
tu nicht	8
Ich weiß nicht über welche Aufgabe wir reden	44
Es sind keine Aufgaben auf der neusten Liste	49
Liste neu hat keine zitronen drin	48
Lese Meiner letzten Liste	34
lese liste Bürosachen	26
lies	4
Liste Frauensachen hat eine Aufgabe auf sich	51
Rückgängig	10
zurückkehren	12
zurückrollen	12
wiederherstellen	16
die am montag fällig sind	30
bestätige	9
ja	2
ich mache	9
Gehirn	6
Erinnerung	10
Wissen	6
alles	5
vergiss	7
setze zurück	12
Lösche Wissensdatenbank	23
vergesse alles	14
Okay, ich werde nun meine Erinnerung zurücksetzen	49
Erinnerungslöschung begonnen	28
nochmal	7
Zutat	5
Zutaten	7
was wird für ein Drink benötigt	33
was brauche ich für ein vodka tonik	31
