Mein name ist Robert	20
upp	3
niður	5
halló	5
kveðja	6
halló	5
heimur	6
jörð	4
Talningin er núna í {{count}}	29
Er kominn upp í {{count}}	25
Halló	5
Hæ til þín líka	15
auto volume on	14
auto volume on	14
naan auto volume on panniten	28
auto volume off	15
auto volume ah activate ku set pannu	36
auto volume off	15
auto volume on	14
deactivate auto volume	22
naan auto volume on panniten	28
auto volume off	15
auto volume ah activate ku set pannu	36
auto volume off	15
auto volume on	14
activate	8
eldur	5
hringja	7
trigger	7
faaliyet alanı, sahne	21
sjálfvirkni	11
skripta	7
minnka	6
niður	5
hvar	4
staðsetja	9
auka	4
upp	3
birta	5
dimmadimmer	11
ljós	4
ljós	4
lampi	5
lampar	6
perur	5
pera	4
led	3
turn on	7
kveikja	7
skipta um	9
stöðu	5
staða	5
skynjari	8
skynjari	8
gildi	5
lesa út	7
hvað er núverandi	17
hvað er núverandi	17
segðu mér núverandi	19
segður mér núverandi	20
setja	5
snúa	4
rofi	4
activate up ?P<Entity>.*	24
byrjuð sjálfvirkni {{dev_name}}.	32
startað {{dev_name}}.	21
{{dev_name}} was triggered.	27
{{dev_name}} was activated.	27
activated {{dev_name}}.	23
please request a brightness level between and .	47
how bright? you can choose a level from to .	44
Can not dim {{dev_name}}. It is not dimmable.	45
Can not dim {{dev_name}}. It is off.	36
Can not dim {{dev_name}}. Please turn it on before.	51
{{dev_name}} can not be dimmed. Only devices that are turned on can be.	71
Dimmed {{dev_name}} to {{brightness}} percent.	46
Dimmed {{dev_name}}.	20
Set the brightness of {{dev_name}} to {{brightness}} percent.	61
Increased brightness of {{dev_name}} to {{brightness}} percent.	63
Increased brightness of {{dev_name}}.	37
{{dev_name}} already {{action}}.	32
No changes made to {{dev_name}}.	32
turned off {{dev_name}}.	24
turned {{dev_name}} off.	24
{{dev_name}} is now off.	24
turned on {{dev_name}}.	23
{{dev_name}} was turned on.	27
turned {{dev_name}} on.	23
toggled {{dev_name}}.	21
{{dev_name}} was toggled.	25
Sorry, I can't find the Home Assistant entity 	46
Entity 	7
Sorry, entity 	14
Excuse me, I wasn't able to find 	33
The Home assistant server appears to be offline.	48
Couldn't reach the home assistant server.	41
The home assistant server did not respond.	42
I don't know what you want me to do.	36
Couldn't figure out how to talk to Home Assistant.	50
I don't understand what you are asking.	39
Currently {{dev_name}} is {{value}} {{unit}}.	45
{{dev_name}} has the state: {{value}} {{unit}}.	47
{{dev_name}} is {{value}} {{unit}} at the moment.	49
{{dev_name}} is {{value}} {{unit}}.	35
Last known location of {{dev_name}} is {{location}}.	52
{{dev_name}} is at {{location}}.	32
{{dev_name}} has been detected at {{location}}.	47
?P<Value>? [-][-]??\\D $	24
in ?what status is ?P<Entity>.*	31
read out ?the ?status of ???P<Entity>.*	39
read out ?the ??P<Entity>.* status	34
how is the current ??P<Entity>.* status	39
tell me the current ??P<Entity>.* status	40
status ?P<Entity>.*	19
turn ??P<Action>on ?P<Entity>.*	31
turn ??P<Entity>.* ?P<Action>on	31
where is what is the ??location of ?P<Entity>.*	47
?P<Entity>.* location	21
bæta við ?P<taskName>.+	23
{{taskName}} var bætt við lista: {{listName}}	45
bæta við ?P<taskName>.+ við minn ??P<listName>.+ list$	54
bæta við ?P<taskName>.+ við lista: ?P<listName>.+$	50
bæta við	8
Ég hef fjarlægt {{taskName}} af lista {{listName}} aftur	56
{taskName}, eitthvað annað?	27
alltí lagi, verkinu var bætt við lista: {{listName}}	52
auðkenna ?P<authenticateWord>.+ muna eftir mjólkinni$	53
auðkenna með	12
{{nofTask}} tasks on list {{listName}} have been marked complete	64
Am readus {{nofTask}} taskuri pe lista {{listName}}	51
Am restaurat {{nofTask}} taskuri de pe lista {{listName}}	57
marchez ?P<taskName>.+$ ca si completata?	41
mark as completed	17
Am restaurat {{taskName}} de pe lista {{listName}}	50
do you want to mark it as completed	35
ce am pe 	9
ce trebuie terminat	19
cauta ?P<taskName>.+	20
Am gasit {{taskName}} pe lista {{listName}}	43
cauta ?P<taskName>.+ pe lista mea ? de ?P<listName>.+ $	55
cauta ?P<taskName>.+ pe lista ?P<listName>.+$	45
cauta	5
Eroare in {{functionName}} la linia {{lineNumber}}	50
obtine un token ?P<appName>.+$	30
obtine tokenul	14
my radio is great	17
Cred ca ai spuns ceva despre taskuri sau liste dar nu am inteles	64
Imi pare rau, nu am gasit nici o lista cu numele {{listName}}	61
bæta við ?P<taskName>.+ við minn ??P<listName>.+ list$	54
bæta við ?P<taskName>.+ við lista: ?P<listName>.+$	50
bæta við ?P<taskName>.+ við minn ??P<listName>.+ list$	54
bæta við ?P<taskName>.+ við lista: ?P<listName>.+$	50
bæta við ?P<taskName>.+ við minn ??P<listName>.+ list$	54
cerebro	7
memoria	7
mente	5
todo	4
olvidar	7
reiniciar	9
Resetez baza de date de cunostinte	34
Uit totul	9
Bine, imi voi reseta memoria acum	33
Stergerea creierului a fost initiala	36
Legal, alterando configuração de brilho para {val}	50
av search for this band	23
av search for this song	23
a v music search for this band	30
a v music search for this song	30
speak	5
say	3
ok	2
yes	3
Dont create a troubleshoot request.	35
nope	4
no	2
nope	4
Okay.	5
Support	7
"A very excellent idea," I said, and did so.	44
"Absolutely," I said with approval.	35
"All right," he said.	21
"Attila," she said at length.	29
"Babies come from amazon.com," he deadpanned.	45
"Be careful how you chew," I advised..	38
"But I don't want to live here," cried Dorothy.	47
"But she said Adele's hair was black," interposed Mr. Ricardo.	62
"But we must cross it," said the Scarecrow.	43
"But we must have a basket to ride in," he said.	48
"Certainly, old bird," I said cordially.	40
"Come in," said Oz.	19
"Don't mention it, old man," I responded courteously.	53
"Fishy," he said.	17
"Gimme," said Aunt Dahlia listlessly.	37
"Glinda might," he suggested.	29
"Good-bye," replied the princess.	33
"Hallo, Bertie, you old ass," was her very matey greeting.	58
"Here is another space between the trees," called the Lion.	59
"How still and peaceful everything is," said Angela.	52
"Hullo, eyesore," she said.	27
"I always thought you were such friends," said Angela.	54
"I beg your pardon, sir," he said.	34
"I couldn't say," he replied, beginning to sidle round the bench.	65
"I feel wise, indeed," he answered, earnestly.	46
"I hate publicity," said Ricardo acidly.	40
"I have always liked you as you were," said Dorothy, simply.	60
"I have come for my brains," remarked the Scarecrow, a little uneasily.	71
"I have come for my courage," announced the Lion, entering the room.	68
"I say, Bertie," she said, meditatively chewing fruit salad.	60
"I see," I said, though I didn't, being still fogged.	53
"I see," he said, at length.	28
"I shall be glad to have your company," said Dorothy.	53
"I think I know what's on your mind, Tuppy," I said.	52
"I thought you might have been a trifle peeved," I said.	56
"I want you to fly with me to Kansas," said Dorothy.	52
"I wish I could," she murmured.	31
"I've got it," I said.	22
"If you were to go to her;" He shook his head.	46
"Impossible," she repeated.	27
"It is kind of you to like a Scarecrow," he replied.	52
"It seems gloomy," said the Scarecrow.	38
"It shall wait here," said Ricardo.	35
"It's all right," I said.	25
"Jeeves," I said, "I had not expected this of you."	51
"Jeeves," I said, "a word with you."	36
"Jeeves," I said, "all this is a bit thick."	44
"Just run through that wheeze again, Jeeves," I said thoughtfully.	66
"Lovely evening," I said.	25
"Lovely," I agreed.	19
"Not to you," said Gussie.	26
"Nothing," I said.	18
"O Lord," said the young man.	29
"Oh, hullo, Tuppy," I said, "I wanted to see you."	50
"Oh, look," she said.	21
"Oh, no;" answered the Woodman.	31
"Oh, right ho," I said hastily.	31
"Oh, yes; sit down in that chair, please," replied Oz.	54
"Oh, you'll be all right," I said.	34
"Perhaps there are wild beasts in the forest now," said Dorothy.	64
"Quite," I replied guardedly.	29
"Quite," I said, a little hurriedly.	36
"Right ho," I said.	19
"She must be softened up," I said.	34
"She should have come by the omnibus," he repeated and repeated stupidly.	73
"Shove it down, Aunt Dahlia," I said sympathetically.	53
"Silly young geezer," I said.	29
"So the name was Adele," he whispered.	38
"Tails up be dashed," was her sombre response.	46
"Tails up, Aunt Dahlia," I urged buoyantly.	43
"Temporarily, yes," I had to admit.	35
"Thank you," he answered.	25
"That is proof that he is sharp," remarked the Lion.	52
"That is true," agreed the Woodman.	35
"That must be a matter of opinion," said the Tin Woodman.	57
"That very sleeve," he said, pointing.	38
"That would make me very unhappy," answered the china princess.	63
"That's all right," said the Scarecrow.	39
"That's so cliche" she said.	28
"The Silver Shoes," said the Good Witch, "have wonderful powers".	65
"Then do it," he said with a smug grin.	39
"There is something cold there," said Tuppy, with growing cheerfulness.	71
"True," answered Oz.	20
"Very good," I said coldly.	27
"Very well," answered Oz, meekly.	33
"Very well," answered the little man.	37
"Well, Bertie, dear," she said, "here we all are."	50
"Well, Gussie," I said.	23
"Well, I'm glad you're feeling braced," I said.	47
"Well, Jeeves," I said, "it was certainly one of those afternoons."	67
"Well, if you say so," said Gussie doubtfully.	46
"What is the matter?" said Mr. Ricardo superbly.	48
"With pleasure," she answered, and brought a towel at once.	59
"Yes," she said, nodding thoughtfully, "you're quite right."	60
"Yonder, among the oak trees," said the tiger, pointing with his fore-foot.	75
"You have plenty of courage, I am sure," answered Oz.	53
"Your Silver Shoes will carry you over the desert," replied Glinda.	67
'Counsel’s Office,’ replied the executor in a whisper.	54
'Crawling out' is entirely the wrong way to put it.	51
'Defeatist' sums it up to a nicety.	35
'Do you hear?’ she continued.	29
'Don't do it!' she exclaimed, quivering in every limb.	54
'I am not accustomed to talk rot,' he said.	43
'It's amazing' she said, drinking me in once more.	50
'Let me in, blast you!' responded Tuppy's voice from without.	61
'My darling,' he will say tenderly, 'is there anything I can do?'	65
'Then, for a beginner,' I said, 'you do it dashed well.'	56
'Was Tuppy after you?' I asked sympathetically.	47
'Well, why not?' said Aunt Dahlia.	34
'What's he doing here?' asked Gussie suspiciously.	50
'Why, yes, Tom, darling,' you will reply.	41
A Bank Holiday in Britain is like a public holiday in America	61
A Cancer tumor can be characterized as a benign or malignant growth.	68
A Christmas Carol.	18
A Dove is a type of bird.	25
A Field Programming Gate Array is a processor designed for machine learning.	76
A Man o’ War is an archaic ship of war.	39
A Merry Christmas to all!	25
A Neonatal Intensive Care Unit Incubator helps weak babies grow.	64
A Pulmonary Embolism is dangerous.	34
A Stanley knife is a popular British utility knife	50
A Tensor Processing Unit is optimized for machine learning algorithms.	70
A baby incubator helps premature babies grow.	45
A ballpoint pen is sometimes called a Biro, after its Hungarian inventor	72
A barrister is a type of lawyer, particularly one who argues cases in court	75
A beautiful world, full of happiness on every side.	51
A bee buzzed around and landed on his nose.	43
A being must be intelligent, to replicate human intelligence.	61
A big canvas tent was the first thing to come within his vision.	64
A bit above par at the moment, as it were?	42
A bit un-English, old man, you must admit.	42
A black asphalt surface absorbs heat and results in cities being hotter.	72
A blood clot is dangerous to humans.	36
A boy is born in Bethlehem.	27
A brain stroke can have devastating life changing consequences.	63
A breeze block is made from a type of concrete.	47
A building society provides mortgages, loans and other financial services	73
A bullet train is also known as a maglev.	41
A bunch of teenagers broke into the excavator last night and trashed the place.	79
A burst of laughter was his reward.	35
A bush chief had died a natural death.	38
A cafetiere is a very convenient device for making coffee	57
A car becomes twisted and mangled in a high speed crash.	56
A car has windows, lights, wheels... et cetera.	47
A car hire centre is a good place to rent a car	47
A car must be regularly serviced.	33
A car should be checked annually to certify it is safe to drive.	64
A catalytic converter stops dangerous gases being pumped into the atmosphere.	77
A catapult is not as dangerous as a crossbow	44
A cavity had formed in his tooth, a filling was needed.	55
A chartered accountant is authorised to certify financial statements	68
A chocolate wrapper keeps sweets fresh.	39
A class action was brought against the company.	47
A club acquaintance, and a mere one at that.	44
A cold collation has been set out in the dining-room.	53
A combination of Canadian capital quickly organized and petitioned for the same privileges.	91
A combine harvester is a dream come true for farmers.	53
A commode is a movable toilet that is useful for the elderly.	61
A company that spends more than it potentially earns faces diminishing returns.	79
A connected city will gather data on public utilities and enhance efficiency.	77
A crate must be safely secured to avoid damage during transport.	64
A crotchet, pronounced with the t, is equivalent to a quarter note	66
A cry of joy burst from Philip's lips.	38
A cyst had formed.	18
A dead man is of no use on a plantation.	40
A deposit of four hundred pounds is deductible from the final fee.	66
A detective knows how to connect the dots.	42
A diaper or nappy is an absorbent undergarment for babies	57
A dish cloth absorbs liquids well.	34
A disturbing picture, you will admit.	37
A fairy must have been crying.	30
A fake website or email is known as a spoof or phish attempt.	61
A flash mob came to our town today.	35
A flying arrow passed between us.	33
A footballer is someone who plays Association Football, or soccer	65
A former mayor is giving a speech on Friday.	44
A fortnight is a period of fourteen days and nights	51
A girl always knows.	20
A glance told me that we were playing to capacity.	50
A good conscience means better sleep.	37
A good landing is any landing you walk away from.	49
A good way of demonstrating an analogy is through a story.	58
A great landing is one where the aircraft is reusable.	54
A greengrocer specialises in selling fruit and vegetables	57
A gritting lorry is used to grit the roads when frost is expected overnight	75
A grubby little brute he was, I recollect.	42
A gymnast moves around flexibly.	32
A half a case of tobacco was worth three pounds.	48
A hallmark of talented engineers is their attitude to learning things out of curiosity.	87
A healthy work life balance makes you more productive.	54
A highway is commonly referred to as motorway in England.	57
A horde of angry toddlers is the scariest thing I can imagine.	62
A house is built one block at a time.	37
A human life is a human life, what?	35
A human worker augmented with Artificial Intelligence can outperform a machine.	79
A humanitarian espouses love for humanity.	42
A hundred miles away.	21
A hurricane is also known as a twister in some countries.	57
A key competency of this role is communicating with customers.	62
A kitchen feels empty without any appliances.	45
A ladybird is a type of red and black flying insect	51
A ladybird is sometimes known as a ladybug	42
A lament and a celebration.	27
A laudable sentiment.	21
A lean startup has the capability of taking on large experienced brands.	72
A liberal tumblerful, sir.	26
A library is more than just a room full of books	48
A likely story!	15
A lion is a predatory animal.	29
A little before dawn of the day following, the fire relief came.	64
A little bright-eyed terrier, you know, with oh, such long curly brown hair!	76
A little treatment, massage, with some help from the doctor.	60
A living will, leaves little room for dispute.	46
A lovely morning, is it not?	28
A machine learning model will need to be retrained to avoid decay.	66
A maddening joy pounded in his brain.	37
A marked improvement.	21
A masterly pie, Bertie, and it wasn't more than half finished.	62
A meal presented well is most memorable.	40
A mere ordinary tribute of respect to a great artist.	53
A message delivered with great skill.	37
A mimim is a musical term corresponding to a half note	54
A minim is a musical term corresponding to a half note	54
A minim is a musical term corresponding to a half note.	55
A moment before he was intoxicated by a joy that was almost madness.	68
A month in Australia would finish me.	37
A month passed by, and Bonanza Creek remained quiet.	52
A nephew's love made me overlook the slur.	42
A neurotic girl, sir, I agree.	30
A new Chief Justice will need to be appointed.	46
A new preacher and a new doctrine come to Jerusalem.	52
A number of the people who took part could easily point to the problem	70
A paraffin lamp is very useful if you're intending to go camping	64
A parent is a nurturer of positive energy.	42
A patent attorney is a type of lawyer specialising in intellectual property	75
A patent attorney is a type of lawyer who specialises in patent law	67
A person is innocent unless they are proven guilty.	51
A person who listens before he speaks, makes them wise.	55
A person who lives to one hundred is called a centenary or centennial.	70
A piano, one fiddle, and a floor like sandpaper.	48
A picture is worth a thousand words.	36
A police officer will not abandon his responsibilities to protect and serve.	76
A power user is well versed in using a system.	46
A prenuptial agreement was signed.	34
A priest and nun walked past us earlier.	40
A professional babysitter is often known as a childminder	57
A rallying cry against shortsighted governments.	48
A rapper creates rap music.	27
A re-tweet does not equals endorsement.	39
A rising tide of fat had submerged them.	40
A sailing boat is much more challenging than a rowing boat	58
A scarlet loincloth completed his costume.	42
A school environment is conducive to learning.	46
A second and more penetrating glance and I had assembled the facts.	67
A semibrieve is a musical note having a duration equivalent to a whole note	75
A shadow was creeping over Pierre's eyes.	41
A sinewy hand, dripping with water, was clutching the rail.	59
A skipping rope is a very popular toy	37
A slight flush mantled the cheek, and the eyes popped a bit.	60
A smart car should send out an automatic distress call after a car accident.	76
A solar flare is due within the hour.	37
A sort of spasm of horror and apprehension contorted her face.	62
A spec of dust went in my eye.	30
A statement of intent should be clear and unambiguous.	54
A steak-and-kidney pie.	23
A storm in a teacup	19
A strange fire burned in his eyes when Thorpe turned.	53
A strange thing then happened.	30
A sudden bright light shone upon me.	36
A swarm of insects surround it.	31
A sweater is known as a jumper in England.	42
A thing begun is half done.	27
A thing to jar the most phlegmatic.	35
A thistle may be pretty but will prick you if you get too close.	64
A three-piece suit consists of jacket, waistcoat and trousers	61
A time before recorded history.	31
A tiny gnome suddenly appeared.	31
A touch of salmon? With a suspicion of salad?	45
A trickle of fresh blood ran over his face.	43
A truck is known as a lorry in England.	39
A twiglet is a small twig.	26
A two story dwelling, on a brick foundation.	44
A valance is the same thing as a pelmet	39
A very charming and beautiful girl.	35
A very matey scheme.	20
A very neat way of putting it.	30
A whisky and soda, eh?	22
A white asphalt surface creates less greenhouse gases.	54
A white blood cell helps the body heal and fight diseases.	58
A wildly exciting time was his during the week preceding Thursday the eighteenth.	81
A windscreen is easily chipped, but can be repaired if it's small.	66
A work in which copyright has expired is in the public domain	61
A zimmer-frame can help support elderly people walk.	52
Abdul is a hard working entrepreneur from a humble background.	62
Abide with me.	14
About eight next morning I witnessed the arrival of two constables and a sergeant.	82
About half-way through, faint signs of life had begun to show.	62
About him, everywhere, were the evidences of luxury and of age.	63
About six, she estimated.	25
Abraham is a prophet of the Jewish, Christian and Islamic faiths.	65
Absolutely as arranged.	23
Absolutely loved the Morris dancers!	36
